SRR          CE              FP               GO              IOGA  NP  OA
SRR1945598:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945599:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945600:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945601:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945602:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945603:  SUCCESS         SUCCESS          -               -     -   -
SRR1945604:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945605:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945606:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945607:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945608:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945609:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945611:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945612:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945613:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945615:  ERROR           INCOMPLETE_low   -               -     -   -
SRR1945616:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945617:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945619:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945620:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945621:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945622:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945623:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945624:  ERROR           PARTIAL          ERROR           -     -   -
SRR1945625:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945626:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945627:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945628:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945629:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
